trial,reference_theta,left_theta,right_theta,delta_theta,epsilon,correct_answer,response,correct,reaction_time
1,4.0,4.0,4.25,0.25,3,right,none,False,NA
2,4.0,4.0,6.0,2,-8,right,right,True,1.417312800011132
3,4.0,4.0,3.75,-0.25,-7,left,right,False,1.7169605000235606
4,4.0,4.0,4.25,0.25,-7,right,right,True,0.646851700003026
5,4.0,4.0,5.0,1,8,right,right,True,1.2323370999947656
6,4.0,4.0,2.0,-2,-7,left,left,True,2.1856760999944527
7,4.0,4.0,5.0,1,3,right,right,True,0.8346866000210866
8,4.0,4.0,6.0,2,-8,right,right,True,0.677861700009089
9,4.0,4.0,3.5,-0.5,3,left,left,True,2.402976099983789
10,4.0,4.0,6.0,2,7,right,right,True,0.5452867000130937
11,4.0,4.0,5.0,1,7,right,right,True,0.5851243000070099
12,4.0,4.0,4.5,0.5,-8,right,right,True,0.6644616000121459
13,4.0,4.0,3.75,-0.25,-8,left,right,False,0.6350603000028059
14,4.0,4.0,4.5,0.5,7,right,left,False,1.7776766000024509
15,4.0,4.0,3.5,-0.5,-7,left,right,False,0.5206228000170086
16,4.0,4.0,4.5,0.5,8,right,left,False,1.2523392000002787
17,4.0,4.0,3.5,-0.5,7,left,left,True,1.8935243999876548
18,4.0,4.0,6.0,2,7,right,right,True,0.6533048000128474
19,4.0,4.0,6.0,2,3,right,right,True,1.0473026999970898
20,4.0,4.0,3.75,-0.25,7,left,left,True,1.218741399992723
21,4.0,4.0,3.0,-1,-8,left,none,False,NA
22,4.0,4.0,2.0,-2,3,left,left,True,2.239306099974783
23,4.0,4.0,5.0,1,7,right,left,False,1.1384557000128552
24,4.0,4.0,2.0,-2,8,left,left,True,0.5835125999874435
25,4.0,4.0,4.5,0.5,-7,right,right,True,0.9522928000078537
26,4.0,4.0,2.0,-2,-7,left,left,True,0.8158369000011589
27,4.0,4.0,4.25,0.25,-8,right,right,True,0.46146780002163723
28,4.0,4.0,4.5,0.5,3,right,right,True,2.5595155999762937
29,4.0,4.0,2.0,-2,8,left,left,True,0.6318017000157852
30,4.0,4.0,3.5,-0.5,8,left,left,True,0.6684146000188775
31,4.0,4.0,3.75,-0.25,8,left,left,True,0.5239938999875449
32,4.0,4.0,4.25,0.25,8,right,right,True,0.4862132999987807
33,4.0,4.0,4.25,0.25,3,right,right,True,0.5468943000014406
34,4.0,4.0,5.0,1,-7,right,right,True,1.3116121999919415
35,4.0,4.0,3.0,-1,3,left,left,True,1.6466125000151806
36,4.0,4.0,5.0,1,-8,right,right,True,0.5026582000136841
37,4.0,4.0,4.5,0.5,-8,right,right,True,1.2359429000061937
38,4.0,4.0,4.25,0.25,7,right,right,True,1.2458199000102468
39,4.0,4.0,3.0,-1,8,left,left,True,2.0549004999920726
40,4.0,4.0,5.0,1,-7,right,right,True,0.47204059999785386
