trial,reference_theta,left_theta,right_theta,delta_theta,epsilon,correct_answer,response,correct,reaction_time
1,5.0,5.0,7.0,2,-8,right,none,False,NA
2,5.0,5.0,4.75,-0.25,8,left,right,False,0.7482804000028409
3,5.0,5.0,5.5,0.5,8,right,right,True,0.33678949999739416
4,5.0,5.0,3.0,-2,3,left,left,True,0.5483380000005127
5,5.0,5.0,5.25,0.25,3,right,left,False,0.24876239999866812
6,5.0,5.0,4.75,-0.25,7,left,right,False,0.35103220000019064
7,5.0,5.0,5.5,0.5,3,right,left,False,0.5158913999985089
8,5.0,5.0,3.0,-2,8,left,right,False,0.18887150000227848
9,5.0,5.0,4.0,-1,3,left,left,True,0.25928299999941373
10,5.0,5.0,7.0,2,-8,right,left,False,0.26046969999879366
11,5.0,5.0,4.5,-0.5,-8,left,right,False,0.25516960000095423
12,5.0,5.0,6.0,1,-8,right,left,False,0.20287619999726303
13,5.0,5.0,4.5,-0.5,7,left,right,False,0.10791270000481745
14,5.0,5.0,4.0,-1,7,left,left,True,0.1762239999952726
