trial,reference_theta_stick,comparison_theta,comparison_roughness,response,reaction_time
1,2.0,0.0,1.100,right,31.1891217000084
2,2.0,0.0,1.060,right,1.4678027000045404
3,2.0,0.0,1.080,right,3.2190777999931015
4,2.0,0.0,1.020,right,4.674460400012322
5,2.0,0.0,1.040,right,1.992584599996917
6,2.0,0.0,1.020,right,3.523720700002741
7,2.0,0.0,1.080,right,37.51918010000372
8,2.0,0.0,1.120,right,89.51574079995044
