trial,left_theta,right_theta,epsilon,correct_answer,response,correct,reaction_time
1,0.25,-0.25,-8,left,left,True,1.8080227000173181
2,-1,1,7,right,right,True,0.432748899969738
3,-2,2,-7,right,left,False,1.4619886000291444
4,0.5,-0.5,8,left,right,False,0.4428541999659501
