trial,left_theta,right_theta,epsilon,correct_answer,response,correct,reaction_time
1,1,-1,-8,left,none,False,NA
2,2,-2,8,left,none,False,NA
3,-1,1,-8,right,none,False,NA
4,2,-2,-8,left,none,False,NA
5,-0.5,0.5,-8,right,none,False,NA
6,0.5,-0.5,8,left,none,False,NA
7,0.25,-0.25,3,left,none,False,NA
