trial,left_theta,right_theta,correct_answer,response,correct,reaction_time
1,0.25,-0.25,left,none,False,NA
2,-2.5,2.5,right,right,True,1.149405999982264
3,-0.5,0.5,right,right,True,0.6769986000144854
4,1.5,-1.5,left,left,True,0.5868438999750651
5,-2,2,right,right,True,0.6224187000188977
6,1.5,-1.5,left,left,True,0.651954900007695
7,-0.25,0.25,right,right,True,1.3237948999740183
8,-2,2,right,right,True,0.7113166999770328
9,-4,4,right,right,True,0.8522348000551574
10,-4,4,right,right,True,0.8650724000181071
11,1,-1,left,left,True,0.8874682999448851
12,2.5,-2.5,left,left,True,1.019983600010164
13,4,-4,left,left,True,0.8148563000140712
14,-2,2,right,right,True,1.3635976000223309
15,0.25,-0.25,left,left,True,0.9899157999898307
16,0.25,-0.25,left,left,True,1.737725400016643
17,0.5,-0.5,left,none,False,NA
18,1,-1,left,left,True,1.0062758999993093
19,-2,2,right,right,True,0.9671164000174031
20,0.25,-0.25,left,left,True,0.6557547000120394
21,-0.5,0.5,right,right,True,0.5812166999676265
22,-0.5,0.5,right,right,True,1.8032546999747865
23,1,-1,left,left,True,0.7441101999720559
24,-2,2,right,right,True,1.2481259999913163
25,-4,4,right,right,True,1.66674780001631
26,-0.25,0.25,right,right,True,2.4304290000000037
27,-0.5,0.5,right,right,True,1.2209583999938332
28,-0.25,0.25,right,left,False,1.896825700008776
29,2.5,-2.5,left,left,True,0.7606295999721624
30,-2.5,2.5,right,right,True,0.6092865999671631
31,-2.5,2.5,right,right,True,1.5797174000181258
32,1,-1,left,left,True,0.6228013999643736
33,0.5,-0.5,left,left,True,0.6359898999799043
34,1.5,-1.5,left,left,True,1.223533199983649
35,-4,4,right,right,True,0.6538313999772072
36,1,-1,left,left,True,0.6032131999963894
37,1,-1,left,left,True,1.4365194999845698
38,-1,1,right,right,True,0.838469999958761
39,1.5,-1.5,left,left,True,0.5891119999578223
40,0.25,-0.25,left,left,True,1.5312431000056677
41,-2.5,2.5,right,right,True,0.6124278000206687
42,-1.5,1.5,right,right,True,1.3272964999778196
43,1.5,-1.5,left,left,True,1.753271100053098
44,-0.25,0.25,right,right,True,1.9365856000222266
45,4,-4,left,left,True,0.670268899993971
46,2,-2,left,left,True,0.9197014999808744
47,-1.5,1.5,right,right,True,0.8309927000082098
48,-1,1,right,right,True,1.126081999973394
49,-2.5,2.5,right,right,True,0.741560099995695
50,2,-2,left,left,True,0.6235801999573596
51,2.5,-2.5,left,left,True,0.5570618000347167
52,-2,2,right,right,True,0.7664826000109315
53,1,-1,left,left,True,0.6872158999904059
54,-4,4,right,right,True,1.38262680004118
55,-0.5,0.5,right,right,True,1.666629199986346
56,1,-1,left,left,True,0.6344715000013821
57,1.5,-1.5,left,left,True,0.5591298000072129
58,-2.5,2.5,right,right,True,0.4910556999966502
59,-0.25,0.25,right,right,True,1.8922704000142403
60,4,-4,left,left,True,0.5521027999930084
61,4,-4,left,left,True,0.5871136000496335
62,-2,2,right,right,True,1.1697605000226758
63,-1.5,1.5,right,right,True,0.5379114999668673
64,-4,4,right,right,True,0.5248387000174262
65,0.5,-0.5,left,left,True,0.5810318000148982
66,2,-2,left,left,True,0.9576706999796443
67,-0.5,0.5,right,right,True,0.6574375000200234
68,-0.5,0.5,right,right,True,0.7193477000109851
69,-2.5,2.5,right,right,True,0.5243957999628037
70,-1.5,1.5,right,right,True,1.107773699972313
