trial,left_theta,right_theta,correct_answer,response,correct,reaction_time
1,1,-1,left,left,True,1.8128568999818526
2,-4,4,right,left,False,0.9591086999862455
3,-1,1,right,right,True,1.042378100042697
4,1.5,-1.5,left,left,True,0.7413704000064172
5,-2,2,right,right,True,0.6637252999935299
6,1,-1,left,left,True,0.48216760001378134
7,2.5,-2.5,left,left,True,0.6737673000316136
8,1.5,-1.5,left,left,True,0.5946151000098325
9,0.5,-0.5,left,left,True,0.6183707999880426
10,4,-4,left,left,True,0.5425439000246115
11,0.25,-0.25,left,left,True,1.9820453000138514
12,-2,2,right,right,True,0.6902143000042997
13,2,-2,left,left,True,0.5864214999601245
14,2.5,-2.5,left,left,True,0.5785032999701798
15,2.5,-2.5,left,left,True,0.5836284999968484
16,-2.5,2.5,right,right,True,0.7039372000144795
17,0.25,-0.25,left,left,True,0.46442629996454343
18,-0.5,0.5,right,right,True,0.5563984999898821
19,-0.5,0.5,right,right,True,0.8445326999644749
20,-1.5,1.5,right,right,True,1.5095004999893717
21,2.5,-2.5,left,left,True,0.522666200005915
22,2,-2,left,left,True,0.52782760001719
23,-4,4,right,right,True,0.45482599997194484
24,2.5,-2.5,left,left,True,0.431527900043875
25,-1.5,1.5,right,right,True,0.4766264999634586
26,4,-4,left,left,True,0.427086700045038
27,0.25,-0.25,left,left,True,1.4317627000273205
28,4,-4,left,left,True,0.6216934000258334
29,-1.5,1.5,right,right,True,0.9347882000147365
30,4,-4,left,left,True,0.4574510999955237
31,-0.5,0.5,right,right,True,0.5525542999967001
32,-2.5,2.5,right,right,True,0.7832761000026949
33,0.25,-0.25,left,left,True,0.5981773000094108
34,1.5,-1.5,left,left,True,0.5969214999931864
35,-0.25,0.25,right,right,True,0.5795563999563456
36,0.5,-0.5,left,left,True,0.5442284000455402
37,0.5,-0.5,left,left,True,0.8156548999832012
38,1.5,-1.5,left,left,True,0.5927578000118956
39,2,-2,left,left,True,0.6125769999925978
40,1.5,-1.5,left,left,True,0.7433625999838114
41,2.5,-2.5,left,left,True,0.5395894999965094
42,2.5,-2.5,left,left,True,0.5525899999774992
43,1,-1,left,left,True,0.4699823000119068
44,2,-2,left,left,True,0.43354890000773594
45,-0.25,0.25,right,right,True,0.5633814000175335
46,2,-2,left,left,True,0.5299488000455312
47,-4,4,right,right,True,0.4545302999904379
48,-0.5,0.5,right,right,True,0.5661102999583818
49,-4,4,right,right,True,1.1581911999965087
50,-0.5,0.5,right,right,True,0.8696734000113793
51,2,-2,left,left,True,0.7958858999772929
52,-1,1,right,right,True,0.6667771000065841
53,-1.5,1.5,right,right,True,0.7300725000095554
54,1,-1,left,left,True,0.6782266999944113
55,2,-2,left,left,True,0.5602761000045575
56,0.25,-0.25,left,left,True,2.4965289999963716
57,1,-1,left,left,True,0.5849765999591909
58,0.25,-0.25,left,left,True,1.124932499951683
59,1,-1,left,left,True,0.6580663999775425
60,-1,1,right,right,True,0.7665559999877587
61,4,-4,left,left,True,1.9484202000312507
62,-0.5,0.5,right,right,True,1.5208756999927573
63,2,-2,left,left,True,0.58331369998632
64,1,-1,left,left,True,1.4946870999992825
65,2.5,-2.5,left,left,True,1.0828200000105426
66,-1.5,1.5,right,right,True,0.8445604000007734
67,-4,4,right,right,True,1.937755200022366
68,0.25,-0.25,left,left,True,1.3783884000149556
69,-0.5,0.5,right,right,True,0.6375376000069082
70,0.25,-0.25,left,left,True,1.861810099973809
