trial,theta,roughness,response,reaction_time
1,0.0,1.040,left,11.453000899986364
2,0.0,1.100,right,4.760728299996117
3,0.0,1.040,left,4.315760700003011
4,0.0,1.020,left,1.6891106000111904
5,0.0,1.100,right,4.900573599996278
6,0.0,1.020,left,1.1442296000022907
