trial,theta,roughness,response,reaction_time
1,0.0,1.020,left,10.771125400002347
2,0.0,1.120,right,5.4597507000144105
3,0.0,1.080,right,2.700946800003294
4,0.0,1.040,right,4.018440100015141
5,0.0,1.020,right,5.613623600016581
6,0.0,1.000,left,10.34036400000332
7,0.0,1.000,left,3.004176499991445
8,0.0,1.100,right,3.8130304999940563
9,0.0,1.060,right,4.337466199998744
10,0.0,1.040,right,6.7142785000032745
11,0.0,1.080,right,5.251112800004194
12,0.0,1.120,right,5.711298200010788
13,0.0,1.100,right,1.5437192999816034
